순위,영화명,변동폭,평점,장르,감독,출연,등급,흥행,링크
1,범죄도시2,0,관람객:9.07 / 평론가:6.56 / 네티즌:9.51,"범죄, 액션",이상용,"마동석(마석도), 손석구(강해상), 최귀화(전일만)",[국내] 15세 관람가,"9,575,030명(06.08 기준)",https://movie.naver.com/movie/bi/mi/basic.naver?code=192608
2,쥬라기 월드: 도미니언,0,관람객:6.85 / 평론가:6.40 / 네티즌:6.18,"액션, 모험",콜린 트레보로우,"크리스 프랫(오웬 그래디), 브라이스 달라스 하워드(클레어 디어링)",[국내] 12세 관람가,"2,266,199명(06.08 기준)",https://movie.naver.com/movie/bi/mi/basic.naver?code=191646
3,브로커,0,관람객:7.47 / 평론가:6.80 / 네티즌:6.22,드라마,고레에다 히로카즈,"송강호, 강동원, 배두나",[국내] 12세 관람가,"152,364명(06.08 기준)",https://movie.naver.com/movie/bi/mi/basic.naver?code=196854
4,닥터 스트레인지: 대혼돈의 멀티버스,0,관람객:7.79 / 평론가:6.80 / 네티즌:7.33,"액션, 판타지, 모험",샘 레이미,"베네딕트 컴버배치(닥터 스트레인지), 엘리자베스 올슨(완다 막시모프 / 스칼렛 위치)",[국내] 12세 관람가,"5,861,671명(06.08 기준)",https://movie.naver.com/movie/bi/mi/basic.naver?code=182016
5,니 부모 얼굴이 보고 싶다,1,관람객:7.75 / 평론가:6.14 / 네티즌:7.68,드라마,김지훈,설경구,[국내] 15세 관람가,,https://movie.naver.com/movie/bi/mi/basic.naver?code=159812
6,그대가 조국,-1,관람객:9.82 / 평론가:5.00 / 네티즌:7.22,다큐멘터리,이승준,,[국내] 12세 관람가,"300,516명(06.08 기준)",https://movie.naver.com/movie/bi/mi/basic.naver?code=216100
7,마녀(魔女) Part2. The Other One,0,관람객:0.00 / 평론가:0.00 / 네티즌:0.00,액션,박훈정,"신시아, 박은빈, 서은수",[국내] 15세 관람가,,https://movie.naver.com/movie/bi/mi/basic.naver?code=196367
8,카시오페아,0,관람객:8.38 / 평론가:6.50 / 네티즌:9.22,드라마,신연식,"안성기(인우), 서현진(수진), 주예림(지나)",[국내] 12세 관람가,"17,954명(06.08 기준)",https://movie.naver.com/movie/bi/mi/basic.naver?code=208772
9,탑건: 매버릭,0,관람객:0.00 / 평론가:0.00 / 네티즌:0.00,액션,조셉 코신스키,"톰 크루즈(매버릭), 마일즈 텔러(루스터), 제니퍼 코넬리(페니)",[국내] 12세 관람가,,https://movie.naver.com/movie/bi/mi/basic.naver?code=81888
10,극장판 포켓몬스터DP: 기라티나와 하늘의 꽃다발 쉐이미,0,관람객:7.97 / 평론가:6.00 / 네티즌:7.13,애니메이션,유야마 쿠니히코,"이선호, 김영선, 마츠모토 리카(사토시 목소리)",[국내] 전체 관람가,"397,784명(06.08 기준)",https://movie.naver.com/movie/bi/mi/basic.naver?code=50368
