,CCTV수,최근증가율,세대수,인구수,한국인,외국인,고령자,외국인비율,고령자비율,CCTV비율,오차,맥도날드,맥버거지표
강남구,3238,150.61919504643964,230752,547602,542498,5104,69011,0.9320637981599776,12.602401013875044,0.5913053641148134,1568.8605934834832,11,20.08758185689607
강동구,1010,166.49076517150397,177368,428547,424235,4312,60657,1.0061906862024468,14.154106784086693,0.2356801004323913,533.6557152244272,4,9.333865363659063
강북구,831,125.20325203252031,143650,319377,315587,3790,59189,1.186685327997946,18.532643239807502,0.2601940653209217,597.5907907915398,5,15.655479261186622
강서구,911,134.7938144329897,261383,602230,595602,6628,81965,1.100576191820401,13.6102485761254,0.15127110904471713,815.7171906322974,4,6.641980638626437
관악구,2109,149.29078014184395,266692,519864,502089,17775,73693,3.4191634735238443,14.175438191527016,0.4056830247910992,469.09638054878906,1,1.9235800132342304
광진구,878,53.228621291448526,163914,369470,353878,15592,46773,4.220099060816846,12.659485208541966,0.2376376972419953,603.3886955237613,2,5.413159390478253
구로구,1884,64.97373029772329,174505,439328,405415,33913,64028,7.719289460266589,14.574076771796927,0.4288367688833855,328.98113601390787,5,11.381018282467767
금천구,1348,100.0,109708,254061,234079,19982,36727,7.865040285600702,14.455977107859926,0.5305812383640149,11.747879696381005,4,15.744250396558307
노원구,1566,188.92988929889302,217462,542603,538350,4253,79046,0.7838143172816957,14.567925352421568,0.2886087986981273,97.87047221918236,5,9.214840316032163
도봉구,825,246.63865546218491,138460,339001,336698,2303,57367,0.6793490284689426,16.92236896056354,0.24336211397606494,624.2744408517301,2,5.89968761154097
동대문구,1870,74.76635514018692,162851,363101,346501,16600,58078,4.571730730568079,15.994998636742945,0.5150082208531511,395.3242155664012,3,8.262163970906167
동작구,1302,139.33823529411765,180463,412000,398885,13115,61009,3.183252427184466,14.808009708737865,0.3160194174757281,224.2152159609759,4,9.70873786407767
마포구,980,212.10191082802552,173845,385985,374422,11563,51613,2.9957122686114745,13.3717631514178,0.2538958767827765,518.7954668621248,5,12.953871264427374
서대문구,1254,48.5781990521327,140007,324304,311215,13089,51367,4.036027924416597,15.839150920124329,0.3866742315851793,179.7838372574263,3,9.25057970299472
서초구,2297,63.371266002844955,172907,435631,431360,4271,55853,0.9804169124786803,12.82117204698472,0.5272811163576513,745.877765359226,6,13.773124502158938
성동구,1327,81.78082191780824,136872,312991,304936,8055,43370,2.573556428140106,13.856628465355234,0.4239738522832925,94.85996174117416,3,9.584940142048813
성북구,1651,63.62735381565908,190253,452292,440397,11895,69341,2.6299381815287473,15.331025089986111,0.3650296710974326,82.31711036264869,3,6.632883181661404
송파구,1081,104.34782608695652,278223,686181,679247,6934,84740,1.0105205477854968,12.349511280551344,0.1575386086178428,734.2013481028969,6,8.74404858193392
양천구,2482,34.67173087357569,177045,465095,461051,4044,59731,0.8694997796149174,12.842752555929437,0.5336544146894721,899.8227783344885,5,10.75049183500145
영등포구,1277,157.97979797979798,173701,404229,369017,35212,56891,8.71090396780043,14.0739531305275,0.3159100410905699,241.0246001528969,4,9.895381083494751
용산구,2096,53.21637426900586,109692,245069,229122,15947,38259,6.507146966772623,15.611521653085456,0.8552693323104922,745.7296672533353,2,8.160966911359656
은평구,2108,85.23725834797891,207123,488285,483730,4555,79282,0.9328568356595022,16.236828901154038,0.4317150844281516,501.3805726223088,3,6.143952814442384
종로구,1619,248.92241379310346,73828,162413,152026,10387,27155,6.3954240116246845,16.71972071201197,0.9968413858496548,355.84889775553137,4,24.628570373061272
중구,1023,147.6997578692494,62156,136276,126143,10133,22749,7.435645308051307,16.693328245619185,0.7506824385805277,212.60276543121967,3,22.014147758959755
중랑구,916,79.96070726915521,181383,405639,400661,4978,63670,1.2271995542834886,15.69622250326029,0.2258165511698826,603.5107368520851,3,7.395738575432835
