Rank,Site,Link
1,Google.com,https://www.alexa.com/siteinfo/google.com
2,Naver.com,https://www.alexa.com/siteinfo/naver.com
3,Youtube.com,https://www.alexa.com/siteinfo/youtube.com
4,Daum.net,https://www.alexa.com/siteinfo/daum.net
5,Tmall.com,https://www.alexa.com/siteinfo/tmall.com
6,Google.co.kr,https://www.alexa.com/siteinfo/google.co.kr
7,Tistory.com,https://www.alexa.com/siteinfo/tistory.com
8,Sohu.com,https://www.alexa.com/siteinfo/sohu.com
9,Qq.com,https://www.alexa.com/siteinfo/qq.com
10,Login.tmall.com,https://www.alexa.com/siteinfo/login.tmall.com
11,Wikipedia.org,https://www.alexa.com/siteinfo/wikipedia.org
12,Taobao.com,https://www.alexa.com/siteinfo/taobao.com
13,Facebook.com,https://www.alexa.com/siteinfo/facebook.com
14,Amazon.com,https://www.alexa.com/siteinfo/amazon.com
15,Jd.com,https://www.alexa.com/siteinfo/jd.com
16,Namu.wiki,https://www.alexa.com/siteinfo/namu.wiki
17,360.cn,https://www.alexa.com/siteinfo/360.cn
18,Kakao.com,https://www.alexa.com/siteinfo/kakao.com
19,Baidu.com,https://www.alexa.com/siteinfo/baidu.com
20,Pages.tmall.com,https://www.alexa.com/siteinfo/pages.tmall.com
21,Weibo.com,https://www.alexa.com/siteinfo/weibo.com
22,Gmarket.co.kr,https://www.alexa.com/siteinfo/gmarket.co.kr
23,Netflix.com,https://www.alexa.com/siteinfo/netflix.com
24,Sina.com.cn,https://www.alexa.com/siteinfo/sina.com.cn
25,11st.co.kr,https://www.alexa.com/siteinfo/11st.co.kr
26,Blog.me,https://www.alexa.com/siteinfo/blog.me
27,Apple.com,https://www.alexa.com/siteinfo/apple.com
28,Coupang.com,https://www.alexa.com/siteinfo/coupang.com
29,Torrentwal.com,https://www.alexa.com/siteinfo/torrentwal.com
30,Ntdtv.kr,https://www.alexa.com/siteinfo/ntdtv.kr
31,Donga.com,https://www.alexa.com/siteinfo/donga.com
32,Microsoft.com,https://www.alexa.com/siteinfo/microsoft.com
33,Stackoverflow.com,https://www.alexa.com/siteinfo/stackoverflow.com
34,Yahoo.com,https://www.alexa.com/siteinfo/yahoo.com
35,Dcinside.com,https://www.alexa.com/siteinfo/dcinside.com
36,Adobe.com,https://www.alexa.com/siteinfo/adobe.com
37,Ebay.com,https://www.alexa.com/siteinfo/ebay.com
38,Nate.com,https://www.alexa.com/siteinfo/nate.com
39,Twitch.tv,https://www.alexa.com/siteinfo/twitch.tv
40,Office.com,https://www.alexa.com/siteinfo/office.com
41,Auction.co.kr,https://www.alexa.com/siteinfo/auction.co.kr
42,Inven.co.kr,https://www.alexa.com/siteinfo/inven.co.kr
43,Dropbox.com,https://www.alexa.com/siteinfo/dropbox.com
44,Instagram.com,https://www.alexa.com/siteinfo/instagram.com
45,Ruliweb.com,https://www.alexa.com/siteinfo/ruliweb.com
46,Bing.com,https://www.alexa.com/siteinfo/bing.com
47,Amazon.co.uk,https://www.alexa.com/siteinfo/amazon.co.uk
48,Clien.net,https://www.alexa.com/siteinfo/clien.net
49,Joins.com,https://www.alexa.com/siteinfo/joins.com
50,Msn.com,https://www.alexa.com/siteinfo/msn.com
